日付,,得意先,,,商品名,,,,,,,,数量,,単位,,単価,,金額
2021/02/19,,メタウォーター,,,混合廃棄物,,,,,,,,2 ,,m3,,10000,,22000
2021/02/02,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/05,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,8 ,,m3,,18000,,158400
2021/02/25,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,8 ,,m3,,18000,,158400
2021/02/26,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/01,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/01,,メタウォーター,,,混合廃棄物,,,,,,,,6 ,,m3,,10000,,66000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/02,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,20000,,88000
2021/03/15,,メタウォーター,,,がれき類,,,,,,,,5 ,,m3,,18000,,99000
2021/03/16,,メタウォーター,,,がれき類,,,,,,,,5 ,,m3,,18000,,99000
2021/03/17,,メタウォーター,,,がれき類,,,,,,,,7 ,,m3,,18000,,128700
2021/03/17,,メタウォーター,,,がれき類,,,,,,,,6 ,,m3,,18000,,118800
2021/03/18,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,25000,,68750
2021/03/19,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,4 ,,m3,,28000,,123200
2021/03/19,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/23,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,28000,,92400
2021/03/24,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,5 ,,m3,,28000,,138600
2021/03/24,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,5 ,,m3,,28000,,154000
2021/03/24,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,28000,,77000
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,28000,,77000
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/25,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/30,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,6 ,,m3,,28000,,184800
2021/03/30,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,28000,,77000
2021/02/05,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/16,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/19,,メタウォーター,,,混合廃棄物,,,,,,,,9 ,,m3,,10000,,99000
2021/03/05,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/03/09,,メタウォーター,,,混合廃棄物,,,,,,,,10 ,,m3,,10000,,110000
2021/03/18,,メタウォーター,,,混合廃棄物,,,,,,,,9 ,,m3,,10000,,99000
2021/03/26,,メタウォーター,,,混合廃棄物,,,,,,,,6 ,,m3,,10000,,66000
2021/02/15,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/09,,メタウォーター,,,混合廃棄物,,,,,,,,6 ,,m3,,10000,,66000
2021/03/15,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/17,,メタウォーター,,,選別,,,,,,,,20 ,,kg,,55,,1210
2021/02/17,,メタウォーター,,,混合廃棄物Ａ,,,,,,,,180 ,,kg,,55,,10890
2021/03/12,,メタウォーター,,,廃プラスチック類,,,,,,,,50 ,,kg,,55,,3025
2021/03/12,,メタウォーター,,,配線,,,,,,,,0 ,,,,0,,0
2021/02/26,,メタウォーター,,,混合廃棄物,,,,,,,,10 ,,m3,,10000,,110000
2021/02/05,,メタウォーター,,,バッテリー,,,,,,,,120 ,,kg,,300,,39600
2021/02/05,,メタウォーター,,,混合廃棄物,,,,,,,,1 ,,m3,,10000,,11000
2021/02/24,,メタウォーター,,,混合廃棄物,,,,,,,,5 ,,m3,,10000,,55000
2021/02/24,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,3 ,,m3,,28000,,92400
2021/02/26,,メタウォーター,,,混合廃棄物,,,,,,,,3 ,,m3,,20000,,66000
2021/03/03,,メタウォーター,,,軽量物系　Ｂ（ＦＲＰ）,,,,,,,,4 ,,m3,,18000,,79200
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,1 ,,m3,,10000,,11000
2021/03/04,,メタウォーター,,,木くず,,,,,,,,7 ,,m3,,6000,,46200
2021/03/05,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/02/25,,メタウォーター,,,ｶﾞﾗｽ・ｺﾝｸﾘｰﾄ・陶磁器くず（ｷｬｽﾀﾌﾞﾙ）,,,,,,,,6 ,,m3,,35000,,231000
2021/03/08,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/03/09,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/03/22,,メタウォーター,,,混合廃棄物,,,,,,,,8 ,,m3,,10000,,88000
2021/03/10,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,10000,,44000
2021/03/10,,メタウォーター,,,選別,,,,,,,,2 ,,m3,,10000,,22000
2021/02/04,,メタウォーター,,,混合廃棄物,,,,,,,,5 ,,m3,,10000,,49500
2021/02/16,,メタウォーター,,,混合廃棄物,,,,,,,,3 ,,m3,,10000,,33000
2021/02/24,,メタウォーター,,,混合廃棄物,,,,,,,,5 ,,m3,,10000,,49500
2021/03/31,,メタウォーター,,,混合廃棄物,,,,,,,,170 ,,kg,,55,,10285
2021/02/19,,メタウォーター,,,廃プラスチック類,,,,,,,,10 ,,kg,,55,,605
2021/02/12,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,11 ,,m3,,18000,,217800
2021/02/16,,メタウォーター,,,混合廃棄物,,,,,,,,5 ,,m3,,10000,,55000
2021/02/24,,メタウォーター,,,木くず,,,,,,,,1 ,,m3,,6000,,6600
2021/02/24,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,10000,,44000
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,18 ,,m3,,18000,,356400
2021/03/03,,メタウォーター,,,混合廃棄物,,,,,,,,18 ,,m3,,18000,,356400
2021/03/04,,メタウォーター,,,混合廃棄物,,,,,,,,9 ,,m3,,10000,,99000
2021/03/04,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,8 ,,m3,,18000,,158400
2021/03/04,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,10000,,44000
2021/03/10,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,7 ,,m3,,18000,,138600
2021/03/12,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,6 ,,m3,,18000,,118800
2021/03/12,,メタウォーター,,,石綿含有産業廃棄物,,,,,,,,6 ,,m3,,30000,,198000
2021/03/15,,メタウォーター,,,軽量物系　Ｂ（グラスウール）,,,,,,,,4 ,,m3,,18000,,79200
2021/03/15,,メタウォーター,,,混合廃棄物,,,,,,,,1 ,,m3,,10000,,11000
2021/03/12,,メタウォーター,,,混合廃棄物,,,,,,,,4 ,,m3,,10000,,44000
2021/02/12,,メタウォーター,,,混合廃棄物,,,,,,,,1 ,,m3,,10000,,11000
2021/03/30,,メタウォーター,,,廃プラスチック類,,,,,,,,2 ,,m3,,15000,,33000
2021/03/30,,メタウォーター,,,混合廃棄物,,,,,,,,2 ,,m3,,10000,,22000
2021/03/30,,メタウォーター,,,混合廃棄物（処理困難物）,,,,,,,,1 ,,m3,,15000,,16500
2021/03/01,,メタウォーター,,,混合廃棄物,,,,,,,,1 ,,m3,,10000,,11000
