日付,得意先,,,商品名,,,,,,,,,,数量,,,,,,単価,,,,,金額
2021/03/12,メタウォーター株式会社,,,配線,,,,,,,,,,10,,,,,,160,,,,,1760
2020/04/10,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2800,,,,,,4,,,,,12320
2020/05/27,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2790,,,,,,7,,,,,21483
2020/06/19,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,1770,,,,,,10,,,,,19470
2020/08/04,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2420,,,,,,10,,,,,26620
2020/09/03,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,1330,,,,,,10,,,,,14630
2020/12/09,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2400,,,,,,15,,,,,39600
2021/01/06,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2160,,,,,,15,,,,,35640
2021/02/10,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2120,,,,,,15,,,,,34980
2021/03/29,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2230,,,,,,15,,,,,36795
2020/08/05,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,930,,,,,,0,,,,,0
2020/08/05,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2300,,,,,,0,,,,,0
2020/08/05,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,2490,,,,,,0,,,,,0
2020/12/17,メタウォーター株式会社,,,雑線,,,,,,,,,,2330,,,,,,220,,,,,563860
2020/07/16,メタウォーター株式会社,,,ＧＣ　軽鉄・スチ－ル類,,,,,,,,,,170,,,,,,10,,,,,1870
2020/10/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/10/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/10/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/10/29,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,30000,,,,,33000
2020/12/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/05/28,メタウォーター株式会社,,,人工費,,,,,,,,,,1,,,,,,8000,,,,,8800
2020/05/28,メタウォーター株式会社,,,セッティング料,,,,,,,,,,1,,,,,,1000,,,,,1100
2020/04/06,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/04/13,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/04/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/04/15,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,3800,,,,,,2.5,,,,,10450
2020/04/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/04/24,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,2970,,,,,,2.5,,,,,8167
