日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-06-23,三機工業　株式会社　（愛知県勝西/尾久）,377120,水銀メーター,3 ,個,40000 ,132000 ,132000 
2020-06-30,三機工業　株式会社　（新河岸/赤城）,370057,混合廃棄物,4 ,m3,10000 ,44000 ,44000 
2020-04-02,三機工業　株式会社　（北多摩/田中）,359401,混合廃棄物,8 ,m3,10000 ,88000 ,88000 
2020-05-14,三機工業　株式会社　（北多摩/田中）,364077,廃油（廃塗料）,290 ,L,250 ,79750 ,79750 
2020-05-14,三機工業　株式会社　（北多摩/田中）,364079,廃油,120 ,L,150 ,19800 ,19800 
2020-05-14,三機工業　株式会社　（北多摩/田中）,364080,燃え殻（特別管理産業廃棄物）,930 ,kg,150 ,153450 ,153450 
2020-05-19,三機工業　株式会社　（北多摩/田中）,364476,混合廃棄物,6 ,m3,10000 ,66000 ,66000 
2020-05-19,三機工業　株式会社　（北多摩/田中）,364476,混合廃棄物（処理困難物）伸縮継手,2 ,m3,18000 ,39600 ,39600 
2020-06-03,三機工業　株式会社　（北多摩/田中）,366426,混合廃棄物,8 ,m3,10000 ,88000 ,88000 
2020-06-08,三機工業　株式会社　（多摩川/尾久）,367153,混合廃棄物（ＦＲＰ）,16 ,m3,18000 ,316800 ,316800 
2020-06-08,三機工業　株式会社　（多摩川/尾久）,367155,混合廃棄物（ＦＲＰ）,10 ,m3,18000 ,198000 ,198000 
2020-06-10,三機工業　株式会社　（多摩川/尾久）,367368,混合廃棄物（ＦＲＰ）,6 ,m3,18000 ,118800 ,118800 
2020-06-19,三機工業　株式会社　（多摩川/尾久）,368627,混合廃棄物（ＦＲＰ）,7 ,m3,18000 ,138600 ,138600 
2020-06-19,三機工業　株式会社　（多摩川/尾久）,368899,二次製品,2 ,m3,8000 ,17600 ,17600 
2020-06-22,三機工業　株式会社　（多摩川/尾久）,368881,混合廃棄物（ＦＲＰ）,3 ,m3,18000 ,59400 ,59400 
2020-06-22,三機工業　株式会社　（多摩川/尾久）,368902,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,13200 
2020-06-24,三機工業　株式会社　（多摩川/尾久）,369169,混合廃棄物（ＦＲＰ）,6 ,m3,18000 ,118800 ,118800 
2020-06-24,三機工業　株式会社　（多摩川/尾久）,369500,二次製品,2 ,m3,8000 ,17600 ,17600 
2020-06-24,三機工業　株式会社　（多摩川/尾久）,369503,二次製品,2 ,m3,8000 ,17600 ,17600 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,369507,混合廃棄物（ＦＲＰ）　14138734652,5 ,m3,18000 ,99000 ,99000 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,369507,混合廃棄物　14138734663,2 ,m3,10000 ,22000 ,22000 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,370103,二次製品,2 ,m3,8000 ,17600 ,17600 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,370106,二次製品,2 ,m3,8000 ,17600 ,17600 
2020-06-30,三機工業　株式会社　（多摩川/尾久）,371120,事務手数料,1 ,式,1500 ,1650 ,1650 
2020-06-30,三機工業　株式会社　（多摩川/尾久）,371120,一般廃棄物,1 ,式,17000 ,18700 ,18700 
2020-06-03,三機工業　株式会社　（北多摩/安田）,366447,運搬費（7ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,38500 
2020-06-17,三機工業　株式会社　（北多摩/安田）,368241,運搬費,1 ,台,25000 ,27500 ,27500 
2020-06-17,三機工業　株式会社　（北多摩/安田）,368529,運搬費,1 ,台,55000 ,60500 ,60500 
2020-06-23,三機工業　株式会社　（愛知県勝西/尾久）,377120,運搬費,1 ,台,80000 ,88000 ,88000 
2020-06-23,三機工業　株式会社　（愛知県勝西/尾久）,377120,運搬費,0 ,,0 ,0 ,0 
2020-06-30,三機工業　株式会社　（新河岸/赤城）,370057,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,23100 
