日付,得意先,,,商品名,数量,単価,金額
2021-07-01,三機工業　株式会社　（清瀬/南中）,,,ギロ材,1660,36,65736
2021-07-01,三機工業　株式会社　（清瀬/南中）,,,雑品,180,10,1980
2021-08-05,三機工業　株式会社　（清瀬/南中）,,,ギロ材,1540,36,60984
2021-08-19,三機工業　株式会社　（清瀬/南中）,,,ガス切,320,26.5,9328
2021-08-20,三機工業　株式会社　（清瀬/南中）,,,ギロ材,550,35.5,21477
2021-08-20,三機工業　株式会社　（清瀬/南中）,,,雑品,2160,10,23760
2021-08-25,三機工業　株式会社　（清瀬/南中）,,,ギロ材,990,35.5,38659
2021-08-25,三機工業　株式会社　（清瀬/南中）,,,雑品,1480,10,16280
2021-09-28,三機工業　株式会社　（清瀬/南中）,,,ギロ材,1430,33,51909
2021-09-28,三機工業　株式会社　（清瀬/南中）,,,雑品,350,13,5005
2021-04-19,三機工業　株式会社　（北多摩/大原）,,,ガス切,4200,18,83160
2021-04-20,三機工業　株式会社　（北多摩/大原）,,,ガス切,2270,15,37455
2021-04-22,三機工業　株式会社　（北多摩/大原）,,,ガス切,5280,21,121968
2021-05-14,三機工業　株式会社　（北多摩/大原）,,,ギロ材,2690,33,97647
2021-05-14,三機工業　株式会社　（北多摩/大原）,,,雑品,950,10,10450
2021-08-02,三機工業　株式会社　（北多摩/大原）,,,ギロ材,590,36,23364
2022-01-17,三機工業　株式会社　（清瀬/前田）,,,雑品,2060,20,45320
2021-09-09,三機工業　株式会社　（新河岸/赤城）,,,ギロ材,650,33,23595
2021-09-09,三機工業　株式会社　（新河岸/赤城）,,,18-8ステン解体,1110,130,158730
2021-06-24,三機工業　株式会社　（浅川/國分）,,,ギロ材,4440,36,175824
2021-06-24,三機工業　株式会社　（浅川/國分）,,,ギロ材,3160,36,125136
2021-04-28,三機工業　株式会社　（南プラ/橘）,,,ギロ材,2730,29,87087
2021-04-28,三機工業　株式会社　（南プラ/橘）,,,雑品,1810,10,19910
2021-04-28,三機工業　株式会社　（南プラ/橘）,,,ギロ材,3970,29,126643
2021-04-30,三機工業　株式会社　（南プラ/橘）,,,ギロ材,4330,29,138127
